AS,,,,March 2025,ALWAYS ASK FOR STOCKS AVAILABILITY,,,
1YR,MONITOR,VIEWPOINT,24-INCH 100HZ FHD-24K1S SEMI CURVED BLACK,MONITOR - VIEWPOINT 24-INCH 100HZ FHD-24K1S SEMI CURVED BLACK,"₱3,600","₱3,550.00","₱4,032.00",0
1YR,MONITOR,VIEWSONIC,"25-INCH VX2479A-HD-PRO 24"" LCD MONITOR","MONITOR - VIEWSONIC 25-INCH VX2479A-HD-PRO 24"" LCD MONITOR","₱7,200","₱7,180.00","₱8,064.00",0
1YR,MONITOR,YGT,19-INCH LED 60Hz TN19HD LED,MONITOR - YGT 19-INCH LED 60Hz TN19HD LED,"₱1,800","₱1,780.00","₱2,016.00",0
1YR,MONITOR,YGT,20-INCH LED 60Hz TN20HD LED,MONITOR - YGT 20-INCH LED 60Hz TN20HD LED,"₱1,850","₱1,800.00","₱2,072.00",1
1YR,MONITOR,YGT,21.5-INCH TN21.5FHD-GD LED,MONITOR - YGT 21.5-INCH TN21.5FHD-GD LED,"₱1,950","₱1,900.00","₱2,184.00",2
1YR,MONITOR,YGT,24-INCH LED TN23.8FHD-GD,MONITOR - YGT 24-INCH LED TN23.8FHD-GD,"₱2,250","₱2,200.00","₱2,520.00",0
1YR,MONITOR,YGT,24-INCH LED TN24FHD-GD,MONITOR - YGT 24-INCH LED TN24FHD-GD,"₱2,250","₱2,200.00","₱2,520.00",9
1YR,MONITOR,YGT,27-INCH LED TN27FHD-GD,MONITOR - YGT 27-INCH LED TN27FHD-GD,"₱2,650","₱2,630.00","₱2,968.00",7
1YR,MONITOR,GAMDIAS,24-INCH 200Hz ATLAS HD24IF III IPS FHD,MONITOR - GAMDIAS 24-INCH 200Hz ATLAS HD24IF III IPS FHD,"₱5,750","₱5,700.00","₱6,440.00",0
1YR,MONITOR,GAMDIAS,27-INCH 200Hz ATLAS 27F21 II IPS,MONITOR - GAMDIAS 27-INCH 200Hz ATLAS 27F21 II IPS,"₱7,650","₱7,600.00","₱8,568.00",0
1YR,MONITOR,GAMDIAS,24-INCH 200Hz VENUS HD24IFW II IPS FHD,MONITOR - GAMDIAS 24-INCH 200Hz VENUS HD24IFW II IPS FHD,"₱5,950","₱5,900.00","₱6,664.00",0
1YR,MONITOR,MSI,G255F 180HZ 1MS IPS ,MONITOR - MSI G255F 180HZ 1MS IPS ,"₱6,900",,"₱7,728.00",0
1YR,MONITOR,MSI,"PRO MP225V 21.45"" 1920 X 1080 FHD 100HZ","MONITOR - MSI PRO MP225V 21.45"" 1920 X 1080 FHD 100HZ","₱3,995",,"₱4,474.40",0
N/A,MOUNT,NORTH BAYOU,"NB-F160 - DUAL MONITOR ARM 17""-27"" 2-9kg","MOUNT - NORTH BAYOU NB-F160 - DUAL MONITOR ARM 17""-27"" 2-9kg","₱2,150","₱2,100.00","₱2,408.00",0
N/A,MOUNT,NORTH BAYOU,"NB-F80 SINGLE DESKMOUNT 17""-30"" 2-9kg","MOUNT - NORTH BAYOU NB-F80 SINGLE DESKMOUNT 17""-30"" 2-9kg","₱1,150","₱1,100.00","₱1,288.00",1
N/A,MOUNT,NORTH BAYOU,"G45 NB SINGLE DESKMOUNT 22""-40"" 2-12kg","MOUNT - NORTH BAYOU G45 NB SINGLE DESKMOUNT 22""-40"" 2-12kg","₱1,480","₱1,430.00","₱1,657.60",1
N/A,MOUNT,NORTH BAYOU,"H100 NB SINGLE DESKMOUNT 17""-30"" 2-9kg","MOUNT - NORTH BAYOU H100 NB SINGLE DESKMOUNT 17""-30"" 2-9kg","₱1,150","₱1,100.00","₱1,288.00",0
N/A,MOUNT,NORTH BAYOU,"H180 NB DUAL DESKMOUNT 17""-27"" 2-9kg","MOUNT - NORTH BAYOU H180 NB DUAL DESKMOUNT 17""-27"" 2-9kg","₱2,200","₱2,150.00","₱2,464.00",0
1MO,MOUSE,FANTECH,VX9 KANATA BLACK,MOUSE - FANTECH VX9 KANATA BLACK,₱240,₱240.00,₱268.80,1
1MO,MOUSE,FANTECH,VX9S KANATA S BLACK ,MOUSE - FANTECH VX9S KANATA S BLACK ,₱460,₱460.00,₱515.20,0
1MO,MOUSE,FANTECH,VX9S KANATA S WHITE,MOUSE - FANTECH VX9S KANATA S WHITE,₱460,₱410.00,₱515.20,0
1MO,MOUSE,FANTECH,VX9S KANATA S PINK,MOUSE - FANTECH VX9S KANATA S PINK,₱460,₱410.00,₱515.20,3
1MO,MOUSE,FANTECH,WG-9S KANATA S WIRELESS BLACK ,MOUSE - FANTECH WG-9S KANATA S WIRELESS BLACK ,"₱1,050","₱1,030.00","₱1,176.00",0
1MO,MOUSE,FANTECH,W609 GO WIRELESS BLACK,MOUSE - FANTECH W609 GO WIRELESS BLACK,₱270,₱250.00,₱302.40,1
1MO,MOUSE,FANTECH,W609 GO WIRELESS WHITE,MOUSE - FANTECH W609 GO WIRELESS WHITE,₱270,₱250.00,₱302.40,1
,MOUSE,FANTECH,RAIGOR III BLACK WIRELESS,MOUSE - FANTECH RAIGOR III BLACK WIRELESS,₱500,₱480.00,₱560.00,0
,MOUSE,FANTECH,RAIGOR III BEIGE WIRELESS,MOUSE - FANTECH RAIGOR III BEIGE WIRELESS,₱500,₱480.00,₱560.00,1
1MO,MOUSE,RAZER,VIPER V2 PRO BLACK MOUSE,MOUSE - RAZER VIPER V2 PRO BLACK MOUSE,"₱7,700","₱7,600.00","₱8,624.00",0
1MO,MOUSE,REDRAGON,COBRA BLACK (M711-2),MOUSE - REDRAGON COBRA BLACK (M711-2),"₱1,050","₱1,020.00","₱1,176.00",0
1MO,MOUSE,REDRAGON,COBRA WHITE (M711W-1),MOUSE - REDRAGON COBRA WHITE (M711W-1),"₱1,150","₱1,120.00","₱1,288.00",0
1MO,MOUSE,REDRAGON,GAINER (M610) black,MOUSE - REDRAGON GAINER (M610) black,₱500,₱500.00,₱560.00,0
1MO,MOUSE,REDRAGON,GRIFFIN (M607) black,MOUSE - REDRAGON GRIFFIN (M607) black,₱850,₱830.00,₱952.00,2
1MO,MOUSE,REDRAGON,MIRAGE (M690) black,MOUSE - REDRAGON MIRAGE (M690) black,₱750,₱730.00,₱840.00,1
1MO,MOUSE,REDRAGON,PHASER (M609) black,MOUSE - REDRAGON PHASER (M609) black,₱500,₱500.00,₱560.00,1
1MO,MOUSE,REDRAGON,PREDATOR (M612-RGB) black,MOUSE - REDRAGON PREDATOR (M612-RGB) black,₱750,₱730.00,₱840.00,1
1MO,MOUSE,REDRAGON,RANGER LITE (M910-KS) black WIRELESS,MOUSE - REDRAGON RANGER LITE (M910-KS) black WIRELESS,"₱1,250","₱1,220.00","₱1,400.00",0
1MO,MOUSE,REDRAGON,STORM (M808W-RGB) white,MOUSE - REDRAGON STORM (M808W-RGB) white,"₱1,100","₱1,100.00","₱1,232.00",0
1MO,MOUSE,REDRAGON,COBRA WHITE-PINK (M711WP),MOUSE - REDRAGON COBRA WHITE-PINK (M711WP),"₱1,150","₱1,130.00","₱1,288.00",1
,MOUSE,REDRAGON,BOMBER (M722) red,MOUSE - REDRAGON BOMBER (M722) red,₱850,₱820.00,₱952.00,1
2WKS,MOUSE,VERSATIL,GENERIC MOUSE,MOUSE - VERSATIL GENERIC MOUSE,₱150,₱150.00,₱168.00,0
1MO,MOUSE,REDRAGON,TRIDENT MOUSE WIRELESS BLACK (M693-RGB),MOUSE - REDRAGON TRIDENT MOUSE WIRELESS BLACK (M693-RGB),"₱1,300","₱1,250.00","₱1,456.00",0
,MOUSE,BADWOLF,PETMALU V3 BLACK,MOUSE - BADWOLF PETMALU V3 BLACK,₱285,₱265.00,₱319.20,3
1MO,MOUSE,REDRAGON,STORM (M808-RGB) black,MOUSE - REDRAGON STORM (M808-RGB) black,₱900,₱880.00,"₱1,008.00",1
1MO,MOUSE,FANTECH,WG-9S KANATA S WIRELESS YELLOW,MOUSE - FANTECH WG-9S KANATA S WIRELESS YELLOW,"₱1,000",₱980.00,"₱1,120.00",0
1MO,MOUSE,FANTECH,W195R GO COMFY GREY  WIRELESS OFFICE ERGONOMIC MOUSE,MOUSE - FANTECH W195R GO COMFY GREY  WIRELESS OFFICE ERGONOMIC MOUSE,₱770,₱750.00,₱862.40,0
1MO,MOUSE,FANTECH,W195R GO COMFY WHITE  WIRELESS OFFICE ERGONOMIC MOUSE,MOUSE - FANTECH W195R GO COMFY WHITE  WIRELESS OFFICE ERGONOMIC MOUSE,₱770,₱720.00,₱862.40,0
N/A,MOUSE PAD,FANTECH,VIGIL (MEDIUM),MOUSE PAD - FANTECH VIGIL (MEDIUM),₱250,₱200.00,₱280.00,0
N/A,MOUSE PAD,GENERIC,SMALL 21252,MOUSE PAD - GENERIC SMALL 21252,₱25,-₱25.00,₱28.00,4
N/A,MOUSE PAD,INPLAY ,SMALL BLACK,MOUSE PAD - INPLAY  SMALL BLACK,₱25,₱25.00,₱28.00,0
N/A,MOUSE PAD,INPLAY ,SMALL WHITE GRAY,MOUSE PAD - INPLAY  SMALL WHITE GRAY,₱25,₱25.00,₱28.00,5
N/A,MOUSE PAD,RASURE ,RGB,MOUSE PAD - RASURE  RGB,₱400,₱400.00,₱448.00,0
N/A,MOUSE PAD,,EXTENDED (30702) MANIPIS,MOUSE PAD -  EXTENDED (30702) MANIPIS,₱100,₱80.00,₱112.00,42
N/A,NETWORKING,,FIBER DUAL CORE 3 STEEL - 2KM GALVANIZED,NETWORKING -  FIBER DUAL CORE 3 STEEL - 2KM GALVANIZED,"₱5,200","₱5,180.00","₱5,824.00",1
1WK,OTHERS,BADWOLF,POWER SWITCH,OTHERS - BADWOLF POWER SWITCH,₱350,₱330.00,₱392.00,5
,OTHERS,GENERIC MMA,WALL MOUNT,OTHERS - GENERIC MMA WALL MOUNT,₱80,₱70.00,₱89.60,15
2WKS,OTHERS,KEYTECH,UNIVERSAL COIN SLOT,OTHERS - KEYTECH UNIVERSAL COIN SLOT,₱450,₱450.00,₱504.00,1
N/A,OTHERS,NORTH BAYOU ,LAPTOP STAND FP-2 FITS DISPLAY 10 to 17 INCH,OTHERS - NORTH BAYOU  LAPTOP STAND FP-2 FITS DISPLAY 10 to 17 INCH,₱850,₱800.00,₱952.00,0
6MOS,OTHERS,TREZOR,1 BLACK,OTHERS - TREZOR 1 BLACK,"₱6,000","₱5,800.00","₱6,720.00",0
2WKS,OTHERS,UPSPIRIT,BLOWER 800W,OTHERS - UPSPIRIT BLOWER 800W,₱800,₱780.00,₱896.00,0
1WK,OTHERS,YGT,1250 HUB AND REMOTE,OTHERS - YGT 1250 HUB AND REMOTE,₱250,₱200.00,₱280.00,0
N/A,OTHERS,,PACKING TAPE ,OTHERS -  PACKING TAPE ,₱45,₱45.00,₱50.40,0
N/A,OTHERS,,STRETCH FILM STRETCH FILM,OTHERS -  STRETCH FILM STRETCH FILM,₱600,₱600.00,₱672.00,2
N/A,OTHERS,,CMOS BATTERY,OTHERS -  CMOS BATTERY,₱25,₱25.00,₱28.00,14
N/A,OTHERS,EZ,CRIMPING TOOL,OTHERS - EZ CRIMPING TOOL,₱550,₱550.00,₱616.00,2
N/A,OTHERS,,M2NVME COOLING PAD / HEATSINK,OTHERS -  M2NVME COOLING PAD / HEATSINK,₱100,₱100.00,₱112.00,10
N/A,OTHERS,,RED SSD CASE,OTHERS -  RED SSD CASE,₱100,₱100.00,₱112.00,0
1MO,OTHERS,,USB PORT FAST CHARGER,OTHERS -  USB PORT FAST CHARGER,₱950,₱930.00,"₱1,064.00",0
,OTHERS,,USB HUB 3.0 4 ports hub (type C),OTHERS -  USB HUB 3.0 4 ports hub (type C),₱200,₱180.00,₱224.00,0
N/A,OTHERS,,BUBBLE WRAP,OTHERS -  BUBBLE WRAP,,,₱0.00,0
,OTHERS,VENTION,WIRELESS HDMI TRANSMITTER AND RECIEVER BLACK,OTHERS - VENTION WIRELESS HDMI TRANSMITTER AND RECIEVER BLACK,"₱5,300",,"₱5,936.00",0
1WK,OTHERS,BADWOLF,POWER SWITCHES DOUBLE SIDED WITH HDMI,OTHERS - BADWOLF POWER SWITCHES DOUBLE SIDED WITH HDMI,₱350,,₱392.00,0
,OTHERS,JBL,BATTERY 200,OTHERS - JBL BATTERY 200,"₱2,999",,"₱3,358.88",0
2WKS,PISONET,,PISONET BOX PISO COIN SLOT (non-universal),PISONET -  PISONET BOX PISO COIN SLOT (non-universal),"₱1,700","₱1,650.00","₱1,904.00",4
2WKS,PISONET,,PISONET BOX DUAL COIN SLOT (universal),PISONET -  PISONET BOX DUAL COIN SLOT (universal),"₱2,450","₱2,400.00","₱2,744.00",6
2WKS,PISONET,,CENTRALIZED,PISONET -  CENTRALIZED,,,₱0.00,0
2WKS,PISONET,,PISONET BOX SINGLE COIN SLOT (universal),PISONET -  PISONET BOX SINGLE COIN SLOT (universal),"₱1,650","₱1,640.00","₱1,848.00",5
1YR,PORTABLE FAN,JISULIFE,ULTRA 1 GREY,PORTABLE FAN - JISULIFE ULTRA 1 GREY,"₱3,699","₱3,500.00","₱4,142.88",0
2MOS,PORTABLE FAN,JISULIFE,LIFE5 PLUS 4000MAH,PORTABLE FAN - JISULIFE LIFE5 PLUS 4000MAH,₱750,₱750.00,₱840.00,2
10MOS,POWER SURGE,HUNTKEY,SZM404-4 POWER SURGE 4 SOCKETS 1.5M 210 JOULES,POWER SURGE - HUNTKEY SZM404-4 POWER SURGE 4 SOCKETS 1.5M 210 JOULES,₱440,₱420.00,₱492.80,0
10MOS,POWER SURGE,HUNTKEY,SZM401-4 EXTENSION CORD 4 SOCKETS 1.5M ,POWER SURGE - HUNTKEY SZM401-4 EXTENSION CORD 4 SOCKETS 1.5M ,₱250,₱250.00,₱280.00,0
10MOS,POWER SURGE,HUNTKEY,SZM304-4 POWER STRIP 3 SOCKETS 1.5M 210 JOULES,POWER SURGE - HUNTKEY SZM304-4 POWER STRIP 3 SOCKETS 1.5M 210 JOULES,₱350,₱350.00,₱392.00,0
10MOS,POWER SURGE,HUNTKEY,SZN607 POWER SURGE 5 SOCKETS 3M 2 USB PORTS (2.4 AMP COMBINED) 210 JOULES,POWER SURGE - HUNTKEY SZN607 POWER SURGE 5 SOCKETS 3M 2 USB PORTS (2.4 AMP COMBINED) 210 JOULES,₱750,₱730.00,₱840.00,0
10MOS,POWER SURGE,HUNTKEY,SZM604-4 POWER STRIP 6 SOCKETS 2M 375 JOULES,POWER SURGE - HUNTKEY SZM604-4 POWER STRIP 6 SOCKETS 2M 375 JOULES,₱650,₱630.00,₱728.00,0
10MOS,POWER SURGE,HUNTKEY,SZM804-4 POWER STRIP 8 SOCKETS 2M 660 JOULES,POWER SURGE - HUNTKEY SZM804-4 POWER STRIP 8 SOCKETS 2M 660 JOULES,₱700,₱680.00,₱784.00,3
10MOS,POWER SURGE,HUNTKEY,PZC504-4 POWER STRIP 5 SOCKETS W/ IND SWITCH 2M 375 JOULES,POWER SURGE - HUNTKEY PZC504-4 POWER STRIP 5 SOCKETS W/ IND SWITCH 2M 375 JOULES,₱780,₱760.00,₱873.60,1
1YR,PRINTER,CANON ,3in1 PRINTER G2010,PRINTER - CANON  3in1 PRINTER G2010,"₱7,900","₱7,880.00","₱8,848.00",0
1YR,PRINTER,EPSON ,PRINTER L121,PRINTER - EPSON  PRINTER L121,"₱5,495","₱5,475.00","₱6,154.40",0
1YR,PRINTER,EPSON ,PRINTER L3210,PRINTER - EPSON  PRINTER L3210,"₱8,600","₱8,550.00","₱9,632.00",0
1YR,PRINTER,EPSON ,PRINTER L3250,PRINTER - EPSON  PRINTER L3250,"₱10,100","₱10,080.00","₱11,312.00",2
1YR,PRINTER,EPSON ,PRINTER L5290 MFP WIFI INTEGRATED INKTANK,PRINTER - EPSON  PRINTER L5290 MFP WIFI INTEGRATED INKTANK,"₱13,300","₱13,200.00","₱14,896.00",(1)
1YR,PRINTER,BROTHER,PRINTER DCP-T430W  8CHA4300121,PRINTER - BROTHER PRINTER DCP-T430W  8CHA4300121,"₱8,950","₱8,900.00","₱10,024.00",0
1YR,PRINTER,BROTHER,PRINTER DCP-T730W 8CHA4700121,PRINTER - BROTHER PRINTER DCP-T730W 8CHA4700121,"₱13,600","₱13,550.00","₱15,232.00",0
1YR,PRINTER,EPSON ,PRINTER LX-310 IMPACT PRINTER,PRINTER - EPSON  PRINTER LX-310 IMPACT PRINTER,"₱12,700","₱12,600.00","₱14,224.00",0
N/A,PRINTER INK,EPSON,INK 003  MAGENTA,PRINTER INK - EPSON INK 003  MAGENTA,₱330,₱310.00,₱369.60,3
N/A,PRINTER INK,EPSON,INK 003  BLUE,PRINTER INK - EPSON INK 003  BLUE,₱330,₱310.00,₱369.60,3
N/A,PRINTER INK,EPSON,INK 003 YELLOW,PRINTER INK - EPSON INK 003 YELLOW,₱330,₱310.00,₱369.60,2
N/A,PRINTER INK,EPSON,INK 003  BLACK,PRINTER INK - EPSON INK 003  BLACK,₱350,₱300.00,₱392.00,5
1YR,PRO & MOBO - AMD,A8 7680,RAMSTA RS-A88MP FM2/FM2+ 4P 2*DDR3 - RED ATHLON ORIG HSF,PRO & MOBO - AMD - A8 7680 RAMSTA RS-A88MP FM2/FM2+ 4P 2*DDR3 - RED ATHLON ORIG HSF,"₱2,250","₱2,230.00","₱2,520.00",0
1YR,PRO & MOBO - AMD,ATHLON 200GE,WHALEKOM B450MV1 - AMD FAN RYZEN,PRO & MOBO - AMD - ATHLON 200GE WHALEKOM B450MV1 - AMD FAN RYZEN,"₱4,350","₱4,300.00","₱4,872.00",1
1YR,PRO & MOBO - AMD,ATHLON 3000G,WHALEKOM B450MV1 - AMD FAN RYZEN,PRO & MOBO - AMD - ATHLON 3000G WHALEKOM B450MV1 - AMD FAN RYZEN,"₱5,100","₱5,080.00","₱5,712.00",1
1YR,PRO & MOBO - AMD,ATHLON 300GE,WHALEKOM B450MV1 - AMD FAN RYZEN,PRO & MOBO - AMD - ATHLON 300GE WHALEKOM B450MV1 - AMD FAN RYZEN,"₱5,200","₱5,100.00","₱5,824.00",0
1YR,PRO & MOBO - AMD,R3 3200G (TRAY),ASUS A520M-K - ASF,PRO & MOBO - AMD - R3 3200G (TRAY) ASUS A520M-K - ASF,"₱6,650","₱6,600.00","₱7,448.00",0
1YR,PRO & MOBO - AMD,R3 3200G (TRAY),GIGABYTE A520M-K-V2 - ASF,PRO & MOBO - AMD - R3 3200G (TRAY) GIGABYTE A520M-K-V2 - ASF,"₱6,300",,"₱7,056.00",0
1YR,PRO & MOBO - AMD,R5 3400G (OVA BOX KIT),OVA TWISTER B450M MATX MOBO,PRO & MOBO - AMD - R5 3400G (OVA BOX KIT) OVA TWISTER B450M MATX MOBO,"₱6,150","₱6,100.00","₱6,888.00",0
1YR,PRO & MOBO - AMD,R5 3400G (tray), BIOSTAR B450MHP -ASF,PRO & MOBO - AMD - R5 3400G (tray)  BIOSTAR B450MHP -ASF,"₱6,500","₱6,450.00","₱7,280.00",0
1YR,PRO & MOBO - AMD,R5 3400G (tray),ASROCK B450M-HDV R4.0 - ASF,PRO & MOBO - AMD - R5 3400G (tray) ASROCK B450M-HDV R4.0 - ASF,"₱7,100","₱7,000.00","₱7,952.00",0
1YR,PRO & MOBO - AMD,R5 3400G (tray),OVA TWISTER B450M MATX MOBO - ASF,PRO & MOBO - AMD - R5 3400G (tray) OVA TWISTER B450M MATX MOBO - ASF,"₱6,150","₱6,100.00","₱6,888.00",0
1YR,PRO & MOBO - AMD,R5 3400G,WHALEKOM B450MV1 - AMD FAN RYZEN,PRO & MOBO - AMD - R5 3400G WHALEKOM B450MV1 - AMD FAN RYZEN,"₱6,050","₱6,030.00","₱6,776.00",0
1YR,PRO & MOBO - AMD,R5 3600 (tray),MSI A320M-A PRO - ASF,PRO & MOBO - AMD - R5 3600 (tray) MSI A320M-A PRO - ASF,"₱9,500","₱9,450.00","₱10,640.00",0
1YR,PRO & MOBO - AMD,R5 4650G (tray),ASUS PRIME A520M K - AMD SF,PRO & MOBO - AMD - R5 4650G (tray) ASUS PRIME A520M K - AMD SF,"₱8,100","₱8,080.00","₱9,072.00",0
1YR,PRO & MOBO - AMD,R5 4650G (tray),GIGABYTE B550M-DS3H AC - ASF,PRO & MOBO - AMD - R5 4650G (tray) GIGABYTE B550M-DS3H AC - ASF,"₱12,900","₱12,850.00","₱14,448.00",1
1YR,PRO & MOBO - AMD,R5 4655G (TRAY),ASUS A520M-K - ASF,PRO & MOBO - AMD - R5 4655G (TRAY) ASUS A520M-K - ASF,"₱8,300","₱8,250.00","₱9,296.00",0
1YR,PRO & MOBO - AMD,R5 4655G (TRAY),GIGABYTE A520M-K-V2 - ASF,PRO & MOBO - AMD - R5 4655G (TRAY) GIGABYTE A520M-K-V2 - ASF,"₱8,400",,"₱9,408.00",0
1YR,PRO & MOBO - AMD,R5 5600 (tray),ASUS PRIME A520M K - AMD FAN,PRO & MOBO - AMD - R5 5600 (tray) ASUS PRIME A520M K - AMD FAN,"₱8,100","₱8,080.00","₱9,072.00",2
1YR,PRO & MOBO - AMD,R5 5600 (TRAY),GIGABYTE A520M-K-V2 - ASF,PRO & MOBO - AMD - R5 5600 (TRAY) GIGABYTE A520M-K-V2 - ASF,"₱8,200",,"₱9,184.00",0
1YR,PRO & MOBO - AMD,R5 5600 (tray),GIGABYTE B550M DS3H - ASF,PRO & MOBO - AMD - R5 5600 (tray) GIGABYTE B550M DS3H - ASF,"₱10,400","₱10,350.00","₱11,648.00",0
1YR,PRO & MOBO - AMD,R5 5600G (tray),ASUS PRIME A520M K - ASF,PRO & MOBO - AMD - R5 5600G (tray) ASUS PRIME A520M K - ASF,"₱10,000","₱9,950.00","₱11,200.00",0
1YR,PRO & MOBO - AMD,R5 5600G (tray),BIOSTAR B450MHP - ASF,PRO & MOBO - AMD - R5 5600G (tray) BIOSTAR B450MHP - ASF,"₱9,400","₱9,350.00","₱10,528.00",1
1YR,PRO & MOBO - AMD,R5 5600G (tray),GIGABYTE B550M DS3H - ASF,PRO & MOBO - AMD - R5 5600G (tray) GIGABYTE B550M DS3H - ASF,"₱11,700","₱11,680.00","₱13,104.00",0
1YR,PRO & MOBO - AMD,R5 5600G (tray),WHALEKOM B450MV1 - AMD SF,PRO & MOBO - AMD - R5 5600G (tray) WHALEKOM B450MV1 - AMD SF,"₱9,100","₱9,080.00","₱10,192.00",0
1YR,PRO & MOBO - AMD,R5 5600GT (OVA BOX KIT),OVA TWISTER B450M MATX MOBO,PRO & MOBO - AMD - R5 5600GT (OVA BOX KIT) OVA TWISTER B450M MATX MOBO,"₱9,100","₱9,050.00","₱10,192.00",0
1YR,PRO & MOBO - AMD,R5 5600GT (tray),ASUS PRIME A520M K - ASF,PRO & MOBO - AMD - R5 5600GT (tray) ASUS PRIME A520M K - ASF,"₱9,650","₱9,600.00","₱10,808.00",2
1YR,PRO & MOBO - AMD,R5 5600GT (tray),BIOSTAR A520MH 3.1 - ASF,PRO & MOBO - AMD - R5 5600GT (tray) BIOSTAR A520MH 3.1 - ASF,"₱9,250","₱9,230.00","₱10,360.00",0
1YR,PRO & MOBO - AMD,R5 5600GT (TRAY),GIGABYTE A520M-K-V2 - ASF,PRO & MOBO - AMD - R5 5600GT (TRAY) GIGABYTE A520M-K-V2 - ASF,"₱9,700",,"₱10,864.00",0
1YR,PRO & MOBO - AMD,R5 5600GT (tray),GIGABYTE B550M DS3H - ASF,PRO & MOBO - AMD - R5 5600GT (tray) GIGABYTE B550M DS3H - ASF,"₱11,550","₱11,450.00","₱12,936.00",0
1YR,PRO & MOBO - AMD,R5 5600GT (tray),MSI B450M A PRO MAX - ASF,PRO & MOBO - AMD - R5 5600GT (tray) MSI B450M A PRO MAX - ASF,,-₱20.00,₱0.00,0
1YR,PRO & MOBO - AMD,R5 5600GT (tray),OVA TWISTER B450M MATX MOBO - ASF,PRO & MOBO - AMD - R5 5600GT (tray) OVA TWISTER B450M MATX MOBO - ASF,"₱9,100","₱9,050.00","₱10,192.00",0
1YR,PRO & MOBO - AMD,R5 5600GT (tray),RAMSTA R5-B450MP AM4 MOBO MATX 4P 2*DDR4 - AMD SF,PRO & MOBO - AMD - R5 5600GT (tray) RAMSTA R5-B450MP AM4 MOBO MATX 4P 2*DDR4 - AMD SF,"₱8,637","₱8,587.00","₱9,673.44",0
1YR,PRO & MOBO - AMD,R5 5600GT (tray),WHALEKOM B450MV1 - AMD FAN RYZEN,PRO & MOBO - AMD - R5 5600GT (tray) WHALEKOM B450MV1 - AMD FAN RYZEN,"₱8,850","₱8,830.00","₱9,912.00",0
1YR,PRO & MOBO - AMD,R5 5600X (tray),ASROCK B450M-HDV R4.0 - ASF,PRO & MOBO - AMD - R5 5600X (tray) ASROCK B450M-HDV R4.0 - ASF,"₱8,280","₱8,260.00","₱9,273.60",0
1YR,PRO & MOBO - AMD,R5 5600X (tray),GIGABYTE B550M DS3H - ASF,PRO & MOBO - AMD - R5 5600X (tray) GIGABYTE B550M DS3H - ASF,"₱11,200","₱11,100.00","₱12,544.00",0
1YR,PRO & MOBO - AMD,R5 5600X (tray),GIGABYTE B550M-K - ASF,PRO & MOBO - AMD - R5 5600X (tray) GIGABYTE B550M-K - ASF,,,₱0.00,0
1YR,PRO & MOBO - AMD,R5 7500F (TRAY) 6 CORES 12 THREADS 3.9 GHZ 65W AM5 CPU,GIGABYTE B5650M DH3P AM5 DDR5,PRO & MOBO - AMD - R5 7500F (TRAY) 6 CORES 12 THREADS 3.9 GHZ 65W AM5 CPU GIGABYTE B5650M DH3P AM5 DDR5,"₱16,700",,"₱18,704.00",0
1YR,PRO & MOBO - AMD,R7 5700G (tray),ASROCK B550M PRO4 - ASF,PRO & MOBO - AMD - R7 5700G (tray) ASROCK B550M PRO4 - ASF,"₱13,900","₱13,850.00","₱15,568.00",0
1YR,PRO & MOBO - AMD,R7 5700G (tray),ASUS PRIME A520M K - AMD SF,PRO & MOBO - AMD - R7 5700G (tray) ASUS PRIME A520M K - AMD SF,"₱10,600","₱10,550.00","₱11,872.00",1
1YR,PRO & MOBO - AMD,R7 5700G (tray),GIGABYTE B550M-DS3H - ASF,PRO & MOBO - AMD - R7 5700G (tray) GIGABYTE B550M-DS3H - ASF,"₱13,500","₱13,480.00","₱15,120.00",0
1YR,PRO & MOBO - AMD,R7 5700X (tray),BIOSTAR A520MH 3.1 - ASF,PRO & MOBO - AMD - R7 5700X (tray) BIOSTAR A520MH 3.1 - ASF,"₱10,200","₱10,100.00","₱11,424.00",0
1YR,PRO & MOBO - AMD,R7 5700X (tray),GIGABYTE B550M DS3H - ASF,PRO & MOBO - AMD - R7 5700X (tray) GIGABYTE B550M DS3H - ASF,"₱11,600","₱11,550.00","₱12,992.00",0
1YR,PRO & MOBO - AMD,R7 5700X (tray),GIGABYTE B550M DS3H AC WIFI - ASF,PRO & MOBO - AMD - R7 5700X (tray) GIGABYTE B550M DS3H AC WIFI - ASF,"₱13,600","₱13,550.00","₱15,232.00",0
1YR,PRO & MOBO - AMD,R7 5800x (BOX),MSI B550M PRO VDH WIFI,PRO & MOBO - AMD - R7 5800x (BOX) MSI B550M PRO VDH WIFI,"₱19,800","₱19,750.00","₱22,176.00",0
1YR,PRO & MOBO - AMD ,R5 2400G (tray) ,BIOSTAR B450MH DDR4/ 3200 AM4 (NO HSF),PRO & MOBO - AMD  - R5 2400G (tray)  BIOSTAR B450MH DDR4/ 3200 AM4 (NO HSF),"₱6,000","₱5,900.00","₱6,720.00",0
1YR,PRO & MOBO - AMD ,R5 2400G (tray) ,BIOSTAR B450MH DDR4/ 3200 AM4- AMD FAN ,PRO & MOBO - AMD  - R5 2400G (tray)  BIOSTAR B450MH DDR4/ 3200 AM4- AMD FAN ,"₱6,800","₱6,780.00","₱7,616.00",0
